epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,1105.39,1.51487,0.82969,1.07862,0.95517,0.91493,0.96098,0.55336,1.37602,0.71055,1.09332,0.000345056,0.000345056,0.000345056
96,1116.87,1.5399,0.85178,1.05637,0.93453,0.9226,0.95734,0.51316,1.46891,0.72921,1.11552,0.000339057,0.000339057,0.000339057
97,1128.41,1.5076,0.8379,1.0715,0.93999,0.93142,0.9599,0.54347,1.40255,0.71779,1.10715,0.000333058,0.000333058,0.000333058
98,1139.78,1.53519,0.83096,1.0731,0.95478,0.9403,0.97051,0.56754,1.34103,0.69073,1.08864,0.000327058,0.000327058,0.000327058
99,1151.6,1.52109,0.82417,1.0527,0.93882,0.9411,0.96429,0.56562,1.34107,0.6831,1.08229,0.000321059,0.000321059,0.000321059
100,1163.1,1.4902,0.81113,1.07751,0.95983,0.92746,0.96132,0.54233,1.39714,0.71079,1.10159,0.000315059,0.000315059,0.000315059
101,1174.54,1.50897,0.82017,1.06204,0.95583,0.92034,0.96556,0.56115,1.37894,0.71035,1.12182,0.00030906,0.00030906,0.00030906
102,1185.92,1.48152,0.80227,1.0528,0.93931,0.924,0.96469,0.5596,1.37327,0.70672,1.08738,0.000303061,0.000303061,0.000303061
103,1197.4,1.54419,0.8255,1.0813,0.95524,0.9459,0.96659,0.56238,1.35697,0.69851,1.09307,0.000297061,0.000297061,0.000297061
104,1208.95,1.46526,0.79093,1.03983,0.95886,0.9171,0.9683,0.5701,1.33,0.69448,1.08854,0.000291062,0.000291062,0.000291062
105,1220.64,1.47155,0.7896,1.0535,0.9355,0.94156,0.96569,0.5617,1.35816,0.68504,1.10994,0.000285062,0.000285062,0.000285062
106,1232.1,1.472,0.79347,1.04365,0.95938,0.92277,0.97176,0.56755,1.36315,0.66812,1.11415,0.000279063,0.000279063,0.000279063
107,1243.86,1.50408,0.80111,1.04732,0.95816,0.92033,0.96668,0.56965,1.3426,0.69404,1.08798,0.000273064,0.000273064,0.000273064
108,1255.35,1.48745,0.80564,1.07116,0.95356,0.93811,0.96817,0.586,1.29339,0.65177,1.07339,0.000267064,0.000267064,0.000267064
109,1267.03,1.48974,0.80144,1.0592,0.95514,0.93581,0.96919,0.55861,1.35588,0.68171,1.0832,0.000261065,0.000261065,0.000261065
110,1278.47,1.46831,0.79545,1.06083,0.94335,0.94587,0.96646,0.56509,1.35183,0.68384,1.10717,0.000255065,0.000255065,0.000255065
111,1290.05,1.43842,0.76128,1.04121,0.95676,0.93842,0.97085,0.58054,1.2963,0.66802,1.06515,0.000249066,0.000249066,0.000249066
112,1301.49,1.45837,0.77862,1.05104,0.9384,0.94996,0.97049,0.58813,1.27712,0.65266,1.06517,0.000243067,0.000243067,0.000243067
113,1313.18,1.42709,0.76117,1.06239,0.9375,0.95192,0.97406,0.59145,1.2929,0.65954,1.08271,0.000237067,0.000237067,0.000237067
